"English","Chinese (ZH)","Malay (MS)","Japanese (JA)","ID","Page","Section","Never Translate","Review Flag","Notes"
"WhatsApp, email or book a private briefing at Bukit Bintang Showroom about Lexis Hibiscus 2, Port Dickson.","透过 WhatsApp、电邮联系，或预约在 Bukit Bintang Showroom 进行的 Lexis Hibiscus 2（Port Dickson）私人简报。","WhatsApp, e-mel atau tempah taklimat peribadi di Bukit Bintang Showroom tentang Lexis Hibiscus 2, Port Dickson.","WhatsApp、メールするか、Bukit Bintang Showroom で Lexis Hibiscus 2、Port Dickson に関するプライベート説明会を予約してください。","contact.og.description","/contact/","og:description","","",""
"Talk to Our Consultant","与我们的顾问联系","Bercakap dengan Perunding Kami","コンサルタントにご相談ください","contact.h1","/contact/","H1","","",""
"WhatsApp","WhatsApp","WhatsApp","WhatsApp","contact.card1.heading","/contact/","Card 1 heading","Y","",""
"The fastest way to reach us — villa details, pricing and viewing times.","联系我们最快的方式——别墅详情、价格与参观时间。","Cara terpantas untuk menghubungi kami — butiran vila, harga dan masa tontonan.","ヴィラの詳細、価格、見学時間など、最速でアクセスできる方法です。","contact.card1.body","/contact/","Card 1 body","","",""
"Private Briefing Venues","私人简报地点","Tempat Taklimat Persendirian","プライベート説明会会場","contact.card2.heading","/contact/","Card 2 heading","","","Plural as of 2026-07-19 (two venues now listed)"
"Bukit Bintang Showroom, Kuala Lumpur","Bukit Bintang Showroom, Kuala Lumpur","Bukit Bintang Showroom, Kuala Lumpur","Bukit Bintang Showroom, Kuala Lumpur","contact.card2.venue_name","/contact/","Venue name","Y","","Venue 1 of 2. Kept in English/Romanized form in every language."
"L12, Pavilion Tower, 75 Jalan Raja Chulan, 50200 Kuala Lumpur","L12, Pavilion Tower, 75 Jalan Raja Chulan, 50200 Kuala Lumpur","L12, Pavilion Tower, 75 Jalan Raja Chulan, 50200 Kuala Lumpur","L12, Pavilion Tower, 75 Jalan Raja Chulan, 50200 Kuala Lumpur","contact.card2.venue1_address","/contact/","Venue 1 address","Y","","Row repurposed 2026-07-19 (was a placeholder 'Venue details to be confirmed' — now the confirmed address). Addresses stay in Romanized form, unchanged, in every language."
"Open daily, 10am – 4pm","每日开放，上午10时至下午4时","Dibuka setiap hari, 10 pagi - 4 petang","毎日午前10時から午後4時まで営業","contact.card2.venue1_hours","/contact/","Venue 1 hours","","","Venue 2 (Port Dickson) hours not yet confirmed — omitted from the site rather than shown as a placeholder, per project convention (see PENDING-ITEMS.md)"
"Lexis Hibiscus Port Dickson Sales Gallery","Lexis Hibiscus Port Dickson Sales Gallery","Lexis Hibiscus Port Dickson Sales Gallery","Lexis Hibiscus Port Dickson Sales Gallery","contact.card2.venue2_name","/contact/","Venue 2 name","Y","","Venue 2 of 2, added 2026-07-19. ""Sales Gallery"" is a descriptive label pending confirmation of an official name (see approved-facts.md §8) — kept in English/Romanized form in every language."
"Ground Floor, Lexis Hibiscus Port Dickson, Batu 12, Jalan Pantai, Pasir Panjang, 71250 Port Dickson","Ground Floor, Lexis Hibiscus Port Dickson, Batu 12, Jalan Pantai, Pasir Panjang, 71250 Port Dickson","Ground Floor, Lexis Hibiscus Port Dickson, Batu 12, Jalan Pantai, Pasir Panjang, 71250 Port Dickson","Ground Floor, Lexis Hibiscus Port Dickson, Batu 12, Jalan Pantai, Pasir Panjang, 71250 Port Dickson","contact.card2.venue2_address","/contact/","Venue 2 address","Y","","Addresses stay in Romanized form, unchanged, in every language. No hours shown for this venue — not yet confirmed."
"Call or WhatsApp: +60 12-297 0362","致电或 WhatsApp：+60 12-297 0362","Hubungi atau WhatsApp: +60 12-297 0362","電話またはWhatsApp: +60 12-297 0362","contact.card2.phone","/contact/","Shared phone line (both venues)","Partial","","Row repurposed 2026-07-19 (was a placeholder — now the confirmed number, same as the WhatsApp CTA number). Keep the digits/format unchanged; only 'Call or WhatsApp:' / label text translates."
"Marketing by an authorised real estate negotiator. This is not the developer's official website.","本网站由授权房地产经纪人营销制作，并非发展商官方网站。","Pemasaran oleh perunding hartanah bertauliah. Ini bukan tapak web rasmi pembangun.","認定不動産交渉士によるマーケティング。これは開発者の公式 Web サイトではありません。","contact.disclosure","/contact/","Inline disclosure box","","Y","Duplicate of global.footer.legal1"
"Own a Villa at Lexis Hibiscus 2, Port Dickson | Private-Pool Living","在 Lexis Hibiscus 2（Port Dickson）拥有别墅｜私人泳池生活","Memiliki Vila di Lexis Hibiscus 2, Port Dickson | Kehidupan Persendirian-Kolam Renang","Lexis Hibiscus 2、Port Dickson でヴィラを所有 |プライベートプールリビング","villas.meta.title","/villas/","<title>","","",""
"Overwater villas with private pools at Lexis Hibiscus 2, Port Dickson — managed by the award-winning Lexis Hotel Group. From RM774,000.","Lexis Hibiscus 2（Port Dickson）的水上私人泳池别墅——由屡获殊荣的 Lexis Hotel Group 管理。价格由 RM774,000 起。","Vila atas air dengan kolam renang peribadi di Lexis Hibiscus 2, Port Dickson — diuruskan oleh Lexis Hotel Group yang memenangi anugerah. Daripada RM774,000.","Lexis Hibiscus 2、Port Dickson にあるプライベート プール付きの水上ヴィラ — 受賞歴のある Lexis Hotel Group が管理。 RM774,000から。","villas.meta.description","/villas/","Meta description","","",""
"Own a Villa at Lexis Hibiscus 2, Port Dickson","在 Lexis Hibiscus 2（Port Dickson）拥有别墅","Memiliki Vila di Lexis Hibiscus 2, Port Dickson","Lexis Hibiscus 2、Port Dickson でヴィラを所有","villas.og.title","/villas/","og:title","","",""
"Overwater villas with private pools at Malaysia's next landmark resort. Managed by Lexis Hotel Group. From RM774,000.","马来西亚下一个地标度假村的水上私人泳池别墅。由 Lexis Hotel Group 管理。价格由 RM774,000 起。","Vila atas air dengan kolam renang peribadi di tempat peranginan mercu tanda seterusnya di Malaysia. Diuruskan oleh Lexis Hotel Group. Daripada RM774,000.","マレーシアの次なるランドマークリゾートにあるプライベートプール付きの水上ヴィラ。 Lexis Hotel Groupが管理しています。 RM774,000から。","villas.og.description","/villas/","og:description","","",""
"Hi, I'd like to book a viewing and get villa pricing for Lexis Hibiscus 2.","您好，我想预约参观 Lexis Hibiscus 2 并了解别墅价格。","Hai, saya ingin menempah tontonan dan mendapatkan harga vila untuk Lexis Hibiscus 2.","こんにちは。内覧を予約して、Lexis Hibiscus 2 のヴィラの価格を知りたいのですが。","villas.wa_text","/villas/","WhatsApp prefill (data-wa-text)","","",""
"Lexis Hibiscus 2 · Port Dickson, Malaysia","Lexis Hibiscus 2 · Port Dickson，马来西亚","Lexis Hibiscus 2 · Port Dickson, Malaysia","Lexis Hibiscus 2 · Port Dickson、マレーシア","villas.hero.eyebrow","/villas/","Hero eyebrow","Partial","","Same string reused on /rental-programme/"
"Own an Overwater Villa at Lexis Hibiscus 2, Every One With Its Own Private Pool","拥有 Lexis Hibiscus 2 水上别墅，每户皆配备私人泳池","Miliki Vila Atas Air di Lexis Hibiscus 2, Setiap Orang Dengan Kolam Renang Peribadinya Sendiri","Lexis Hibiscus 2 で水上ヴィラを所有しましょう。各ヴィラには専用のプライベート プールが付いています","villas.hero.h1","/villas/","H1","","",""
"Private-pool villas at Malaysia's next landmark resort in Port Dickson, professionally managed by the award-winning Lexis Hotel Group. Ownership from RM774,000.","马来西亚下一个地标度假村坐落于 Port Dickson，配备私人泳池别墅，由屡获殊荣的 Lexis Hotel Group 专业管理。业权价格由 RM774,000 起。","Vila kolam renang persendirian di resort mercu tanda Malaysia seterusnya di Port Dickson, diuruskan secara profesional oleh Lexis Hotel Group yang memenangi anugerah. Pemilikan daripada RM774,000.","マレーシアの次のランドマークとなるリゾート、Port Dickson にあるプライベート プール ヴィラ。受賞歴のある Lexis Hotel Group が専門的に管理しています。所有権はRM774,000から。","villas.hero.subhead","/villas/","Hero subheadline","","",""
"2× Guinness World Records","2项健力士世界纪录","2× Rekod Dunia Guinness","2× ギネス世界記録","villas.hero.bullet1","/villas/","Hero bullet list item 1","","",""
"Award-winning Lexis hospitality brand","屡获殊荣的 Lexis 酒店品牌","Jenama hospitaliti Lexis yang memenangi anugerah","受賞歴のある Lexis ホスピタリティ ブランド","villas.hero.bullet2","/villas/","Hero bullet list item 2","","",""
"Developer since 1996","1996年创立的发展商","Pemaju sejak 1996","1996 年以来の開発者","villas.hero.bullet3","/villas/","Hero bullet list item 3","","",""
"From RM774,000","RM774,000 起","Daripada RM774,000","RM774,000から","villas.hero.bullet4","/villas/","Hero bullet list item 4","Partial","","Keep RM774,000 unchanged"
"Aerial artist impression of Lexis Hibiscus 2 resort, Port Dickson","Lexis Hibiscus 2 度假村鸟瞰效果图，位于 Port Dickson","Kesan artis dari udara untuk resort Lexis Hibiscus 2, Port Dickson","Lexis Hibiscus 2 リゾート、Port Dickson の空撮アーティストの印象","villas.hero.image_alt","/villas/","Hero image alt","","","Same as home.hero.image_alt"
"The Villas","别墅","The Villas","ザ ヴィラズ","villas.options.eyebrow","/villas/","Villa options section eyebrow","","",""
"A Villa Built Around Your Own Pool","专属私人泳池的别墅设计","Vila Dibina di Sekitar Kolam Renang Anda Sendiri","自分専用のプールの周りに建てられたヴィラ","villas.options.h2","/villas/","Villa options H2","","",""
"Two floor layouts, both designed for space and privacy — every home comes with its own private swimming pool, ideal for families who want a resort lifestyle they can call their own.","两种楼层布局，皆着重空间感与私密性——每户皆配备私人泳池，是渴望拥有专属度假生活的家庭理想之选。","Susun atur dua tingkat, kedua-duanya direka untuk ruang dan privasi — setiap rumah dilengkapi dengan kolam renang peribadinya sendiri, sesuai untuk keluarga yang mahukan gaya hidup resort yang boleh mereka panggil sendiri.","スペースとプライバシーを重視して設計された 2 つのフロア レイアウト。各家には専用のプライベート プールが付いており、自分だけのリゾート ライフスタイルを求める家族に最適です。","villas.options.body","/villas/","Villa options section body","","",""
"Type A Upper floor plan — 872 sq ft overwater villa with private pool, 2 bedrooms and 2 bathrooms","A 型上层户型平面图——872平方尺水上别墅，配备私人泳池，2房2卫","Pelan tingkat atas Jenis A — vila atas air 872 kaki persegi dengan kolam renang peribadi, 2 bilik tidur dan 2 bilik mandi","タイプ A 上層階プラン — プライベート プール、ベッドルーム 2 室、バスルーム 2 室付きの 872 平方フィートの水上ヴィラ","villas.upper.image_alt","/villas/","Villa card image alt","","",""
"Type A — Upper","A 型 — 上层","Jenis A — Atas","タイプA — アッパー","villas.upper.heading","/villas/","Villa card heading","","",""
"872 sq ft · 81.14 m² · private pool","872平方尺 · 81.14平方米 · 私人泳池","872 kaki persegi · 81.14 m² · kolam renang peribadi","872平方フィート・81.14平方メートル・プライベートプール","villas.upper.feature1","/villas/","Villa card feature line","Partial","","Keep sq ft / m² figures unchanged"
"2 bedrooms · 2 bathrooms · balcony","2房2卫 · 阳台","2 bilik tidur · 2 bilik air · balkoni","ベッドルーム2室、バスルーム2室、バルコニー","villas.upper.feature2","/villas/","Villa card feature line","","",""
"Elevated water outlook","高台水景视野","Tinjauan air yang tinggi","高水域の展望","villas.upper.feature3","/villas/","Villa card feature line","","",""
"From RM774,000*","RM774,000* 起","Daripada RM774,000*","RM774,000から*","villas.upper.price","/villas/","Villa card price","Partial","","Keep RM774,000 and * unchanged"
"Type A Lower floor plan — 858 sq ft overwater villa with private pool, 2 bedrooms and 2 bathrooms","A 型下层户型平面图——858平方尺水上别墅，配备私人泳池，2房2卫","Jenis A Pelan tingkat bawah — vila atas air 858 kaki persegi dengan kolam renang peribadi, 2 bilik tidur dan 2 bilik mandi","タイプ A 下層階プラン — プライベートプール、ベッドルーム 2 室、バスルーム 2 室付きの 858 平方フィートの水上ヴィラ","villas.lower.image_alt","/villas/","Villa card image alt","","",""
"Type A — Lower","A 型 — 下层","Jenis A — Bawah","タイプ A — 下側","villas.lower.heading","/villas/","Villa card heading","","",""
"858 sq ft · 79.75 m² · private pool","858平方尺 · 79.75平方米 · 私人泳池","858 kaki persegi · 79.75 m² · kolam renang peribadi","858 平方フィート · 79.75 平方メートル · プライベートプール","villas.lower.feature1","/villas/","Villa card feature line","Partial","","Keep sq ft / m² figures unchanged"
"2 bedrooms · 2 bathrooms · balcony","2房2卫 · 阳台","2 bilik tidur · 2 bilik air · balkoni","ベッドルーム2室、バスルーム2室、バルコニー","villas.lower.feature2","/villas/","Villa card feature line","","",""
"Direct water access level","水平面直达楼层","Tahap akses air terus","直接水にアクセスできるレベル","villas.lower.feature3","/villas/","Villa card feature line","","",""
"From RM774,000*","RM774,000* 起","Daripada RM774,000*","RM774,000から*","villas.lower.price","/villas/","Villa card price","Partial","","Keep RM774,000 and * unchanged"
"The resort will comprise 1,734 rooms in total — 910 overwater villas offered for ownership, plus 800 tower rooms and 24 aquarium rooms, with a sunken aquarium restaurant and the largest ballroom in Negeri Sembilan. Completion targeted 2029. *Pricing subject to availability and official price list.","度假村总共规划1,734间房——910间供业权拥有的水上别墅，另设800间塔楼客房及24间水族客房，并设有沉降式水族餐厅及森美兰州最大宴会厅。竣工目标为2029年。*价格视单位供应情况及官方价目表而定。","Resort ini akan terdiri daripada 1,734 bilik secara keseluruhan — 910 vila atas air ditawarkan untuk pemilikan, ditambah 800 bilik menara dan 24 bilik akuarium, dengan restoran akuarium tenggelam dan bilik tarian terbesar di Negeri Sembilan. Penyiapan disasarkan 2029. *Harga tertakluk kepada ketersediaan dan senarai harga rasmi.","このリゾートは、合計 1,734 室の客室で構成されます。910 室が所有権を提供する水上ヴィラに加え、800 室のタワー ルームと 24 室のアクアリウム ルーム、沈没水族館レストランとヌグリ スンビラン最大のボールルームを備えます。 2029 年の完成を目指しています。 *価格は在庫状況と公式価格表によって異なります。","villas.options.footnote","/villas/","Villa options section footnote","","",""
"Step Inside","走进样板房","Langkah ke dalam","中に足を踏み入れる","villas.gallery.eyebrow","/villas/","Gallery section eyebrow","","",""
"Walk Through the Show Unit","样板房实景导览","Berjalan Melalui Unit Pertunjukan","ショーユニットをウォークスルーする","villas.gallery.h2","/villas/","Gallery section H2","","",""
"Actual photography of the Type A show unit, alongside renders of the wider resort.","A 型样板房实景照片，以及度假村整体效果图。","Fotografi sebenar unit pertunjukan Jenis A, di samping paparan resort yang lebih luas.","タイプ A ショー ユニットの実際の写真と、より広いリゾートのレンダリング。","villas.gallery.body","/villas/","Gallery section body","","",""
"Type A show unit exterior at dusk","A 型样板房黄昏外观","Bahagian luar unit pameran Jenis A pada waktu senja","夕暮れのタイプAショーユニット外観","villas.gallery.image1_alt","/villas/","Gallery image alt","","",""
"Private pool and deck of the Type A show unit","A 型样板房的私人泳池与露台","Kolam renang peribadi dan dek unit pameran Jenis A","タイプAショーユニットのプライベートプールとデッキ","villas.gallery.image2_alt","/villas/","Gallery image alt","","",""
"Bedroom of the Type A show unit","A 型样板房卧室","Bilik tidur unit pameran Jenis A","タイプAショーユニットのベッドルーム","villas.gallery.image3_alt","/villas/","Gallery image alt","","",""
"Second bedroom of the Type A show unit","A 型样板房第二间卧室","Bilik tidur kedua unit pameran Jenis A","タイプAショーユニットの2番目の寝室","villas.gallery.image4_alt","/villas/","Gallery image alt","","",""
"Bathroom of the Type A show unit","A 型样板房浴室","Bilik mandi unit pameran Jenis A","タイプAショーユニットのバスルーム","villas.gallery.image5_alt","/villas/","Gallery image alt","","",""
"Artist impression of the villas at Lexis Hibiscus 2","Lexis Hibiscus 2 别墅效果图","Kesan artis vila di Lexis Hibiscus 2","Lexis Hibiscus 2のヴィラのアーティストの印象","villas.gallery.image6_alt","/villas/","Gallery image alt","","",""
"Artist impression","效果图","Kesan artis","アーティストの印象","villas.gallery.image6_caption","/villas/","Gallery image figcaption","","","Short-form of home.hero.caption, reused across many render images sitewide"
"The Destination","度假胜地","Destinasi","目的地","villas.location.eyebrow","/villas/","Location section eyebrow","","",""
"An 80-Acre Resort Made for Family Retreats","80英亩打造的家庭度假胜地","Resort Seluas 80 Ekar Dibuat untuk Retret Keluarga","家族の隠れ家のために作られた80エーカーのリゾート","villas.location.h2","/villas/","Location section H2","","",""
"An 80-acre 5-star resort development adjacent to the existing Lexis Hibiscus","80英亩五星级度假村项目，毗邻现有的 Lexis Hibiscus","Pembangunan resort 5 bintang seluas 80 ekar bersebelahan dengan Lexis Hibiscus sedia ada","既存のLexis Hibiscusに隣接する80エーカーの5つ星リゾート開発","villas.location.bullet1","/villas/","Location bullet","","",""
"Every villa comes with its own private swimming pool","每户别墅皆配备私人泳池","Setiap vila dilengkapi dengan kolam renang peribadinya sendiri","すべてのヴィラには専用のプライベートプールが付いています","villas.location.bullet2","/villas/","Location bullet","","",""
"Easy to reach — KLIA 55 km · Kuala Lumpur 100 km · Malacca 80 km","交通便利——距吉隆坡国际机场（KLIA）55公里 · 吉隆坡100公里 · 马六甲80公里","Mudah dicapai — KLIA 55 km · Kuala Lumpur 100 km · Melaka 80 km","アクセスしやすい — KLIA 55 km · クアラルンプール 100 km · マラッカ 80 km","villas.location.bullet3","/villas/","Location bullet","Partial","","Distances stay unchanged; ""KLIA"", ""Kuala Lumpur"", ""Malacca"" may localize to standard MS/JA place names"
"10 complimentary owner nights every year — your family's annual retreat, built in","每年10晚免费入住——专属您家庭的年度度假时光","10 malam pemilik percuma setiap tahun — percutian tahunan keluarga anda, terbina dalam","毎年 10 泊の無料オーナー ナイト - 家族の毎年恒例の静養所。","villas.location.bullet4","/villas/","Location bullet","","",""
"Resort dining, water park, water sports, spa, sky bar, kids' club and gym planned across the grounds","度假村内规划餐饮、水上乐园、水上活动、水疗中心、空中酒吧、儿童俱乐部及健身房等设施","Tempat makan di resort, taman air, sukan air, spa, bar langit, kelab kanak-kanak dan gim yang dirancang di seluruh kawasan","リゾートダイニング、ウォーターパーク、ウォータースポーツ、スパ、スカイバー、キッズクラブ、ジムが敷地内に計画されています","villas.location.bullet5","/villas/","Location bullet","","",""
"Artist impression of the infinity pool and feature pavilion at Lexis Hibiscus 2","Lexis Hibiscus 2 无边泳池与特色凉亭效果图","Kesan artis kolam infiniti dan pavilion ciri di Lexis Hibiscus 2","Lexis Hibiscus 2のインフィニティプールとフィーチャーパビリオンのアーティストインプレッション","villas.location.image1_alt","/villas/","Location image alt","","",""
"Artist impression of the floating pool bar at night, Lexis Hibiscus 2","Lexis Hibiscus 2 夜间浮动泳池吧效果图","Kesan artis bar kolam terapung pada waktu malam, Lexis Hibiscus 2","夜の水上プールバーのアーティストの印象、Lexis Hibiscus 2","villas.location.image2_alt","/villas/","Location image alt","","",""
"Location map showing Lexis Hibiscus 2 in Port Dickson relative to Kuala Lumpur and KLIA","显示 Lexis Hibiscus 2（Port Dickson）与吉隆坡及吉隆坡国际机场相对位置的地理位置图","Peta lokasi menunjukkan Lexis Hibiscus 2 di Port Dickson berbanding Kuala Lumpur dan KLIA","クアラルンプールおよびクアラルンプール国際空港に対する Port Dickson の Lexis Hibiscus 2 を示す位置図","villas.location.image3_alt","/villas/","Location map alt","","",""
"Developer & Operator","发展商与营运商","Pembangun & Operator","開発者およびオペレーター","villas.track.eyebrow","/villas/","Track record section eyebrow","","","Same string reused on /rental-programme/"
"Built on Decades of Hospitality Experience","数十年酒店管理经验的坚实基础","Dibina atas Pengalaman Hospitaliti Berdekad","数十年にわたるホスピタリティの経験に基づいて構築","villas.track.h2","/villas/","Track record section H2","","",""
"2× Guinness World Records","2项健力士世界纪录","2× Rekod Dunia Guinness","2× ギネス世界記録","villas.track1.heading","/villas/","Track record card heading","","",""
"Most swimming pools in a resort; most overwater villas in a single resort — held by the existing Lexis Hibiscus, verified 2016.","度假村内泳池数量最多；单一度假村水上别墅数量最多——由现有 Lexis Hibiscus 保持，于2016年获认证。","Kebanyakan kolam renang di resort; kebanyakan vila atas air dalam satu resort — dipegang oleh Lexis Hibiscus sedia ada, disahkan 2016.","リゾート内のほとんどのプール。単一リゾート内のほとんどの水上ヴィラ - 既存の Lexis Hibiscus が所有、2016 年に確認。","villas.track1.body","/villas/","Track record card body","","",""
"Developer since 1996","1996年创立的发展商","Pemaju sejak 1996","1996 年以来の開発者","villas.track2.heading","/villas/","Track record card heading","","",""
"KL Metro Property Development Sdn. Bhd., a member of Kuala Lumpur Metro Group.","KL Metro Property Development Sdn. Bhd.，隶属于 Kuala Lumpur Metro Group。","KL Metro Property Development Sdn. Bhd., a member of Kuala Lumpur Metro Group.","KL Metro Property Development Sdn. Bhd., a member of Kuala Lumpur Metro Group.","villas.track2.body","/villas/","Track record card body","Y","",""
"10.2 million guests","1,020万旅客","10.2 juta tetamu","1,020万人のゲスト","villas.track3.heading","/villas/","Track record card heading","","",""
"Tourists from 186 countries hosted across Lexis resorts since 2006.","自2006年起，Lexis 旗下度假村已接待来自186个国家的旅客。","Pelancong dari 186 negara menjadi tuan rumah di seluruh pusat peranginan Lexis sejak 2006.","2006 年以来、レクシス リゾートでは 186 か国からの観光客が受け入れられています。","villas.track3.body","/villas/","Track record card body","","",""
"Rental paid since 2006","自2006年起发放租金","Sewa dibayar sejak 2006","2006 年以降のレンタル料金の支払い","villas.track4.heading","/villas/","Track record card heading","","Y",""
"Rental honoured to owners across Lexis properties since 2006.","自2006年起，Lexis 旗下物业持续向业主发放租金。","Sewaan diberi penghormatan kepada pemilik di seluruh hartanah Lexis sejak 2006.","2006 年以来、レクシスの施設全体のオーナーに賃貸料が贈られてきました。","villas.track4.body","/villas/","Track record card body","","",""
"60+ international awards","60多项国际奖项","60+ anugerah antarabangsa","60以上の国際的な賞を受賞","villas.track5.heading","/villas/","Track record card heading","","",""
"Including World Luxury Hotel Awards and World Travel Awards across multiple years.","包括历年荣获的 World Luxury Hotel Awards 与 World Travel Awards 等奖项。","Including World Luxury Hotel Awards and World Travel Awards across multiple years.","Including World Luxury Hotel Awards and World Travel Awards across multiple years.","villas.track5.body","/villas/","Track record card body","Y","",""
"Effortless Ownership","轻松拥有","Pemilikan Tanpa Usaha","楽に所有できる","villas.ownership.eyebrow","/villas/","Ownership section eyebrow","","Y",""
"Ownership, Without the Upkeep","拥有别墅，无需操心打理","Pemilikan, Tanpa Pemeliharaan","維持費なしの所有権","villas.ownership.h2","/villas/","Ownership section H2","","Y",""
"Your villa is furnished, maintained and operated by Lexis Hotel Group under a structured 15-year rental programme — a fixed rental phase for the first three years, followed by a profit-sharing phase for the remaining twelve. You enjoy the resort and the rental income; the operator handles everything else.","在为期15年的结构化租赁计划下，您的别墅将由 Lexis Hotel Group 负责装修、维护与营运——首三年为固定租金阶段，其余十二年则为利润分享阶段。您可尽享度假村生活与租金收入，其余事务全交由营运商处理。","Vila anda dilengkapi, diselenggara dan dikendalikan oleh Lexis Hotel Group di bawah program penyewaan 15 tahun berstruktur — fasa sewa tetap untuk tiga tahun pertama, diikuti dengan fasa perkongsian untung untuk dua belas yang selebihnya. Anda menikmati resort dan pendapatan sewa; pengendali mengendalikan segala-galanya.","あなたのヴィラは、構造化された 15 年間のレンタル プログラムに基づいて、Lexis Hotel Group によって備え付けられ、維持管理され、運営されます。最初の 3 年間は固定レンタル段階で、その後残りの 12 年間は利益分配段階となります。あなたはリゾートと家賃収入を楽しみます。それ以外はすべてオペレーターが処理します。","villas.ownership.body1","/villas/","Ownership section body","","Y","Core compliance-sensitive programme description — no percentages/guarantee language, mirror this register exactly for MS/JA"
"Programme details are available on request — via WhatsApp or the Rental Programme page.","计划详情可应要求提供——欢迎透过 WhatsApp 或租赁计划页面查询。","Butiran program tersedia atas permintaan — melalui WhatsApp atau halaman Program Sewaan.","プログラムの詳細は、WhatsApp またはレンタル プログラム ページからリクエストに応じて入手できます。","villas.ownership.body2","/villas/","Ownership section body","","Y","""Rental Programme page"" is a hyperlink to /rental-programme/ (language-equivalent)"
"Programme details are subject to the official sale and tenancy/leaseback agreements. Rental programme terms, availability and conditions may change according to official agreements and project requirements. Interested buyers should review the complete terms with the authorised sales representative before making any decision.","计划详情以正式的买卖及租赁／回租协议为准。租赁计划条款、供应情况及条件可能根据正式协议及项目要求而有所变动。有意买家在作出任何决定前，应与授权销售代表一同审阅完整条款。","Butiran program adalah tertakluk kepada perjanjian jualan dan penyewaan/pajakan balik rasmi. Terma, ketersediaan dan syarat program penyewaan mungkin berubah mengikut perjanjian rasmi dan keperluan projek. Pembeli yang berminat harus menyemak syarat lengkap dengan wakil jualan yang sah sebelum membuat sebarang keputusan.","プログラムの詳細は、正式な販売契約およびテナント/リースバック契約の対象となります。レンタル プログラムの利用規約、可用性、条件は、正式な契約やプロジェクトの要件に従って変更される場合があります。興味のある購入者は、決定を下す前に認定販売代理店と完全な条件を確認する必要があります。","villas.ownership.disclosure","/villas/","Ownership section disclosure box","","Y","Duplicated verbatim on /rental-programme/ (rental.disclosure adds a ""Please note:"" lead-in)"
"Common Questions","常见问题","Soalan Lazim","よくある質問","villas.faq.eyebrow","/villas/","FAQ section eyebrow","","","Same string reused on /rental-programme/"
"Before You Enquire","咨询前须知","Sebelum Anda Bertanya","お問い合わせの前に","villas.faq.h2","/villas/","FAQ section H2","","",""
"Can I use the villa myself?","我可以自己使用别墅吗？","Bolehkah saya menggunakan vila itu sendiri?","ヴィラを自分で使用できますか?","villas.faq.q1","/villas/","FAQ question 1","","",""
"Yes — owners taking part in the rental programme enjoy 10 complimentary nights' stay per year at the resort.","可以——参与租赁计划的业主每年可享有10晚免费入住度假村。","Ya — pemilik yang mengambil bahagian dalam program penyewaan menikmati 10 malam percuma setiap tahun di resort.","はい。レンタル プログラムに参加しているオーナーは、リゾートで年間 10 泊無料で滞在できます。","villas.faq.a1","/villas/","FAQ answer 1","","Y","Also appears (near-identically) in this page's FAQPage JSON-LD; ZH ships identical wording in both places — do the same for MS/JA"
"Who maintains and furnishes it?","谁负责装修与维护？","Siapa yang memelihara dan menyediakannya?","誰がそれを維持し、備え付けていますか？","villas.faq.q2","/villas/","FAQ question 2","","",""
"Lexis Hotel Group furnishes, maintains and operates the villa under the rental programme. Owners are not involved in day-to-day operations.","在租赁计划下，别墅的装修、维护与营运皆由 Lexis Hotel Group 负责。业主无需参与日常营运。","Lexis Hotel Group menyediakan, menyelenggara dan mengendalikan vila di bawah program penyewaan. Pemilik tidak terlibat dalam operasi harian.","Lexis Hotel Group は、レンタル プログラムに基づいてヴィラの設備、維持、運営を行っています。オーナーは日常業務には関与しません。","villas.faq.a2","/villas/","FAQ answer 2","","Y","Also in FAQPage JSON-LD — keep identical wording"
"What villa types and sizes are available?","有哪些别墅户型与面积可供选择？","Apakah jenis dan saiz vila yang tersedia?","どのようなタイプとサイズのヴィラが利用可能ですか?","villas.faq.q3","/villas/","FAQ question 3","","",""
