"English","Chinese (ZH)","Malay (MS)","Japanese (JA)","ID","Page","Section","Never Translate","Review Flag","Notes"
"Location map showing Lexis Hibiscus 2 in Port Dickson relative to Kuala Lumpur and KLIA","显示 Lexis Hibiscus 2（Port Dickson）与吉隆坡及吉隆坡国际机场相对位置的地理位置图","","","villas.location.image3_alt","/villas/","Location map alt","","",""
"Developer & Operator","发展商与营运商","","","villas.track.eyebrow","/villas/","Track record section eyebrow","","","Same string reused on /rental-programme/"
"Built on Decades of Hospitality Experience","数十年酒店管理经验的坚实基础","","","villas.track.h2","/villas/","Track record section H2","","",""
"2× Guinness World Records","2项健力士世界纪录","","","villas.track1.heading","/villas/","Track record card heading","","",""
"Most swimming pools in a resort; most overwater villas in a single resort — held by the existing Lexis Hibiscus, verified 2016.","度假村内泳池数量最多；单一度假村水上别墅数量最多——由现有 Lexis Hibiscus 保持，于2016年获认证。","","","villas.track1.body","/villas/","Track record card body","","",""
"Developer since 1996","1996年创立的发展商","","","villas.track2.heading","/villas/","Track record card heading","","",""
"KL Metro Property Development Sdn. Bhd., a member of Kuala Lumpur Metro Group.","KL Metro Property Development Sdn. Bhd.，隶属于 Kuala Lumpur Metro Group。","","","villas.track2.body","/villas/","Track record card body","Y","",""
"10.2 million guests","1,020万旅客","","","villas.track3.heading","/villas/","Track record card heading","","",""
"Tourists from 186 countries hosted across Lexis resorts since 2006.","自2006年起，Lexis 旗下度假村已接待来自186个国家的旅客。","","","villas.track3.body","/villas/","Track record card body","","",""
"Rental paid since 2006","自2006年起发放租金","","","villas.track4.heading","/villas/","Track record card heading","","Y",""
"Rental honoured to owners across Lexis properties since 2006.","自2006年起，Lexis 旗下物业持续向业主发放租金。","","","villas.track4.body","/villas/","Track record card body","","",""
"60+ international awards","60多项国际奖项","","","villas.track5.heading","/villas/","Track record card heading","","",""
"Including World Luxury Hotel Awards and World Travel Awards across multiple years.","包括历年荣获的 World Luxury Hotel Awards 与 World Travel Awards 等奖项。","","","villas.track5.body","/villas/","Track record card body","Y","",""
"Effortless Ownership","轻松拥有","","","villas.ownership.eyebrow","/villas/","Ownership section eyebrow","","Y",""
"Ownership, Without the Upkeep","拥有别墅，无需操心打理","","","villas.ownership.h2","/villas/","Ownership section H2","","Y",""
"Your villa is furnished, maintained and operated by Lexis Hotel Group under a structured 15-year rental programme — a fixed rental phase for the first three years, followed by a profit-sharing phase for the remaining twelve. You enjoy the resort and the rental income; the operator handles everything else.","在为期15年的结构化租赁计划下，您的别墅将由 Lexis Hotel Group 负责装修、维护与营运——首三年为固定租金阶段，其余十二年则为利润分享阶段。您可尽享度假村生活与租金收入，其余事务全交由营运商处理。","","","villas.ownership.body1","/villas/","Ownership section body","","Y","Core compliance-sensitive programme description — no percentages/guarantee language, mirror this register exactly for MS/JA"
"Programme details are available on request — via WhatsApp or the Rental Programme page.","计划详情可应要求提供——欢迎透过 WhatsApp 或租赁计划页面查询。","","","villas.ownership.body2","/villas/","Ownership section body","","Y","""Rental Programme page"" is a hyperlink to /rental-programme/ (language-equivalent)"
"Programme details are subject to the official sale and tenancy/leaseback agreements. Rental programme terms, availability and conditions may change according to official agreements and project requirements. Interested buyers should review the complete terms with the authorised sales representative before making any decision.","计划详情以正式的买卖及租赁／回租协议为准。租赁计划条款、供应情况及条件可能根据正式协议及项目要求而有所变动。有意买家在作出任何决定前，应与授权销售代表一同审阅完整条款。","","","villas.ownership.disclosure","/villas/","Ownership section disclosure box","","Y","Duplicated verbatim on /rental-programme/ (rental.disclosure adds a ""Please note:"" lead-in)"
"Common Questions","常见问题","","","villas.faq.eyebrow","/villas/","FAQ section eyebrow","","","Same string reused on /rental-programme/"
"Before You Enquire","咨询前须知","","","villas.faq.h2","/villas/","FAQ section H2","","",""
"Can I use the villa myself?","我可以自己使用别墅吗？","","","villas.faq.q1","/villas/","FAQ question 1","","",""
"Yes — owners taking part in the rental programme enjoy 10 complimentary nights' stay per year at the resort.","可以——参与租赁计划的业主每年可享有10晚免费入住度假村。","","","villas.faq.a1","/villas/","FAQ answer 1","","Y","Also appears (near-identically) in this page's FAQPage JSON-LD; ZH ships identical wording in both places — do the same for MS/JA"
"Who maintains and furnishes it?","谁负责装修与维护？","","","villas.faq.q2","/villas/","FAQ question 2","","",""
"Lexis Hotel Group furnishes, maintains and operates the villa under the rental programme. Owners are not involved in day-to-day operations.","在租赁计划下，别墅的装修、维护与营运皆由 Lexis Hotel Group 负责。业主无需参与日常营运。","","","villas.faq.a2","/villas/","FAQ answer 2","","Y","Also in FAQPage JSON-LD — keep identical wording"
"What villa types and sizes are available?","有哪些别墅户型与面积可供选择？","","","villas.faq.q3","/villas/","FAQ question 3","","",""
"Type A villas, each with a private pool: Upper (872 sq ft / 81.14 m², elevated water outlook) and Lower (858 sq ft / 79.75 m², direct water access level), each with 2 bedrooms, 2 bathrooms and a balcony. The resort comprises 1,734 rooms in total — 910 overwater villas offered for ownership, plus 800 tower rooms and 24 aquarium rooms.","A 型别墅，每户皆配备私人泳池：上层户型（872平方尺／81.14平方米，高台水景视野）与下层户型（858平方尺／79.75平方米，水平面直达楼层），皆为2房2卫连阳台。度假村总共规划1,734间房——910间供业权拥有的水上别墅，另设800间塔楼客房及24间水族客房。","","","villas.faq.a3","/villas/","FAQ answer 3","","","Also in FAQPage JSON-LD with slightly different EN wording — ZH normalizes to one wording; do the same for MS/JA"
"Starting price and payment process?","起价与付款流程？","","","villas.faq.q4","/villas/","FAQ question 4","","",""
"Villas are offered from RM774,000, subject to availability and official pricing. A booking fee applies, refundable upon loan disbursement, with bank end-financing available for qualified purchasers — full breakdown at consultation.","别墅价格由 RM774,000 起，视单位供应情况及官方价格而定。买家须支付订金，该订金将在贷款发放后退还，合资格买家亦可申请银行房贷——完整明细将于咨询时提供。","","","villas.faq.a4","/villas/","FAQ answer 4","Partial","","Keep RM774,000 unchanged. Also in FAQPage JSON-LD with slightly different wording — normalize as above"
"Can foreigners buy?","外国人可以购买吗？","","","villas.faq.q5","/villas/","FAQ question 5","","",""
"Yes, subject to minimum price thresholds that vary by state, and separate rules apply to Malaysia My Second Home (MM2H) participants. Confirm the current threshold for Negeri Sembilan with Summerfield before committing.","可以，惟须符合各州属不同的最低购买价格门槛，马来西亚第二家园计划（MM2H）参与者则另有规定。请在作出决定前，向 Summerfield 确认森美兰州现行的门槛。","","","villas.faq.a5","/villas/","FAQ answer 5","Partial","","""Summerfield"" and ""MM2H"" verbatim. Also in FAQPage JSON-LD — identical wording"
"How do I arrange a viewing or consultation?","如何安排参观或咨询？","","","villas.faq.q6","/villas/","FAQ question 6","","",""
"Contact us on WhatsApp or via the form below to arrange a private briefing at Bukit Bintang Showroom.","请透过下方 WhatsApp 或表格联系我们，以安排在 Bukit Bintang Showroom 进行的私人简报。","","","villas.faq.a6","/villas/","FAQ answer 6","","","Also in FAQPage JSON-LD with slightly different wording (""via the form"" vs ""via the form below"") — ZH normalizes to one wording"
"Next Step","下一步","","","villas.final.eyebrow","/villas/","Final CTA section eyebrow","","","Same string reused on /rental-programme/"
"Your Villa at Lexis Hibiscus 2 Starts With a Conversation","您与 Lexis Hibiscus 2 别墅的缘份，由一次对话开始","","","villas.final.h2","/villas/","Final CTA section H2","","",""
"Request the latest brochure, pricing and a private consultation with our consultant.","立即索取最新宣传册、价格资讯，并预约与我们顾问的私人咨询。","","","villas.final.body","/villas/","Final CTA section body","","",""
"Prefer a callback? Use the form and our consultant will reach out on WhatsApp with villa details, pricing and viewing times.","希望我们回电？请填写表格，我们的顾问将透过 WhatsApp 与您联系，提供别墅详情、价格及参观时间。","","","villas.final.small_text","/villas/","Final CTA section small print","","",""
"15-Year Rental Programme | Lexis Hibiscus 2, Port Dickson","15年期租赁计划｜Lexis Hibiscus 2, Port Dickson","","","rental.meta.title","/rental-programme/","<title>","","Y",""
"Own a private-pool villa at Lexis Hibiscus 2, Port Dickson, under a structured 15-year rental programme managed by Lexis Hotel Group. Rental paid to owners since 2006. From RM774,000.","在 Lexis Hibiscus 2（Port Dickson）拥有私人泳池别墅，参与由 Lexis Hotel Group 管理的15年期结构化租赁计划。自2006年起持续向业主发放租金。价格由 RM774,000 起。","","","rental.meta.description","/rental-programme/","Meta description","","Y",""
"A 15-Year Managed Rental Programme — Lexis Hibiscus 2","15年期管理式租赁计划 — Lexis Hibiscus 2","","","rental.og.title","/rental-programme/","og:title","","Y",""
"Structured 15-year rental programme, operator track record since 2006. Villas from RM774,000.","15年期结构化租赁计划，营运商自2006年起累积实绩。别墅价格由 RM774,000 起。","","","rental.og.description","/rental-programme/","og:description","","Y",""
"Hi, I'd like to book a consultation for the full 15-year rental programme terms for Lexis Hibiscus 2.","您好，我想预约咨询，了解 Lexis Hibiscus 2 完整的15年期租赁计划条款。","","","rental.wa_text","/rental-programme/","WhatsApp prefill (data-wa-text)","","Y",""
"Lexis Hibiscus 2 · Port Dickson, Malaysia","Lexis Hibiscus 2 · Port Dickson，马来西亚","","","rental.hero.eyebrow","/rental-programme/","Hero eyebrow","Partial","","Same as villas.hero.eyebrow"
"A 15-Year Managed Rental Programme — Own a Private Pool Villa at Lexis Hibiscus 2","15年期管理式租赁计划——拥有 Lexis Hibiscus 2 私人泳池别墅","","","rental.hero.h1","/rental-programme/","H1","","Y",""
"A hospitality-managed resort property in Port Dickson with a structured 15-year rental programme, run by an operator with a track record since 2006. Villas from RM774,000.","位于 Port Dickson 的酒店式管理度假物业，配备15年期结构化租赁计划，由自2006年起累积实绩的营运商负责运营。别墅价格由 RM774,000 起。","","","rental.hero.subhead","/rental-programme/","Hero subheadline","","Y",""
"15-Year Rental Programme","15年期租赁计划","","","rental.hero.bullet1","/rental-programme/","Hero bullet","","Y",""
"Rental paid to owners since 2006","自2006年起向业主发放租金","","","rental.hero.bullet2","/rental-programme/","Hero bullet","","Y",""
"2× Guinness World Records","2项健力士世界纪录","","","rental.hero.bullet3","/rental-programme/","Hero bullet","","",""
"From RM774,000","RM774,000 起","","","rental.hero.bullet4","/rental-programme/","Hero bullet","Partial","","Keep RM774,000 unchanged"
"Artist impression of overwater villas at Lexis Hibiscus 2, Port Dickson, illuminated at night","Lexis Hibiscus 2（Port Dickson）水上别墅夜间灯光效果图","","","rental.hero.image_alt","/rental-programme/","Hero image alt","","",""
"The Programme","计划详情","","","rental.programme.eyebrow","/rental-programme/","How-it-works section eyebrow","","Y",""
"Own It. They Run It. You Benefit.","您拥有，他们营运，您受益","","","rental.programme.h2","/rental-programme/","How-it-works section H2","","Y",""
"A professionally managed rental programme structured over 15 years — the full mechanics are explained in your private consultation.","为期15年的专业管理租赁计划——完整机制将于您的私人咨询中详细说明。","","","rental.programme.body","/rental-programme/","How-it-works section body","","Y",""
"Structured 15-Year Rental Programme","15年期结构化租赁计划","","","rental.card1.heading","/rental-programme/","Programme grid card heading","","Y",""
"A long-term programme with clear phases, set out in the official tenancy agreement.","长期计划，各阶段清晰划分，载于正式租赁协议。","","","rental.card1.body","/rental-programme/","Programme grid card body","","Y",""
"Operator Covers Upkeep & Outgoings","营运商负责维护与支出","","","rental.card2.heading","/rental-programme/","Programme grid card heading","","Y",""
"Furnishing, maintenance and daily operations are fully handled for you.","装修、维护与日常营运全权由营运商处理。","","","rental.card2.body","/rental-programme/","Programme grid card body","","Y",""
"Rental Track Record Since 2006","自2006年起的租金发放实绩","","","rental.card3.heading","/rental-programme/","Programme grid card heading","","Y",""
"Backed by an operator with a rental payment history across Lexis properties.","由旗下物业拥有租金发放实绩的营运商作为后盾。","","","rental.card3.body","/rental-programme/","Programme grid card body","","Y",""
"10 Complimentary Owner Nights a Year","每年10晚业主免费入住","","","rental.card4.heading","/rental-programme/","Programme grid card heading","","Y",""
"Your villa is also your family's annual resort retreat.","您的别墅同时也是家庭每年的度假胜地。","","","rental.card4.body","/rental-programme/","Programme grid card body","","Y",""
"Flexible Exit With Written Notice","书面通知即可灵活退出","","","rental.card5.heading","/rental-programme/","Programme grid card heading","","Y",""
"Owners may end the tenancy with advance written notice.","业主可提前发出书面通知以终止租赁。","","","rental.card5.body","/rental-programme/","Programme grid card body","","Y",""
"Managed by Lexis Hotel Group","由 Lexis Hotel Group 管理","","","rental.card6.heading","/rental-programme/","Programme grid card heading","","Y",""
"An award-winning operator overseeing daily resort operations.","由屡获殊荣的营运商负责度假村日常营运。","","","rental.card6.body","/rental-programme/","Programme grid card body","","Y",""
"Please note: Programme details are subject to the official sale and tenancy/leaseback agreements. Rental programme terms, availability and conditions may change according to official agreements and project requirements. Interested buyers should review the complete terms with the authorised sales representative before making any decision.","请注意：计划详情以正式的买卖及租赁／回租协议为准。租赁计划条款、供应情况及条件可能根据正式协议及项目要求而有所变动。有意买家在作出任何决定前，应与授权销售代表一同审阅完整条款。","","","rental.disclosure","/rental-programme/","Disclosure box","","Y","Same base text as villas.ownership.disclosure with a ""Please note:"" lead-in added"
"Get Pricing & Programme Overview","索取价格与计划概况","","","rental.gate.heading","/rental-programme/","Mid-page CTA gate heading","","Y",""
"Get villa pricing and a project overview, sent to you directly via WhatsApp.","别墅价格与项目概况，将直接透过 WhatsApp 发送给您。","","","rental.gate.body","/rental-programme/","Mid-page CTA gate body","","Y",""
"Developer & Operator","发展商与营运商","","","rental.track.eyebrow","/rental-programme/","Track record section eyebrow","","","Same as villas.track.eyebrow"
"An Operator With a Rental Track Record Since 2006","自2006年起累积租金发放实绩的营运商","","","rental.track.h2","/rental-programme/","Track record section H2","","Y",""
"Rental paid since 2006","自2006年起发放租金","","","rental.track1.heading","/rental-programme/","Track record card heading","","Y",""
"Rental honoured to owners across Lexis properties since 2006.","自2006年起，Lexis 旗下物业持续向业主发放租金。","","","rental.track1.body","/rental-programme/","Track record card body","","Y",""
"2× Guinness World Records","2项健力士世界纪录","","","rental.track2.heading","/rental-programme/","Track record card heading","","",""
"Most swimming pools in a resort; most overwater villas in a single resort — existing Lexis Hibiscus, verified 2016.","度假村内泳池数量最多；单一度假村水上别墅数量最多——现有 Lexis Hibiscus，于2016年获认证。","","","rental.track2.body","/rental-programme/","Track record card body","","",""
"Developer since 1996","1996年创立的发展商","","","rental.track3.heading","/rental-programme/","Track record card heading","","",""
"KL Metro Property Development Sdn. Bhd., a member of Kuala Lumpur Metro Group.","KL Metro Property Development Sdn. Bhd.，隶属于 Kuala Lumpur Metro Group。","","","rental.track3.body","/rental-programme/","Track record card body","Y","",""
"10.2 million guests","1,020万旅客","","","rental.track4.heading","/rental-programme/","Track record card heading","","",""
"Tourists from 186 countries hosted across Lexis resorts since 2006.","自2006年起，Lexis 旗下度假村已接待来自186个国家的旅客。","","","rental.track4.body","/rental-programme/","Track record card body","","",""
"60+ international awards","60多项国际奖项","","","rental.track5.heading","/rental-programme/","Track record card heading","","",""
"Including World Luxury Hotel Awards and World Travel Awards across multiple years.","包括历年荣获的 World Luxury Hotel Awards 与 World Travel Awards 等奖项。","","","rental.track5.body","/rental-programme/","Track record card body","Y","",""
"The Villas","别墅","","","rental.villas.eyebrow","/rental-programme/","Villa pricing section eyebrow","","",""
"Villa Options Under the Programme","计划下的别墅选择","","","rental.villas.h2","/rental-programme/","Villa pricing section H2","","Y",""
"Type A Upper floor plan — 872 sq ft overwater villa with private pool, 2 bedrooms and 2 bathrooms","A 型上层户型平面图——872平方尺水上别墅，配备私人泳池，2房2卫","","","rental.villas.upper.image_alt","/rental-programme/","Villa card image alt","","","Same as villas.upper.image_alt"
"Type A — Upper","A 型 — 上层","","","rental.villas.upper.heading","/rental-programme/","Villa card heading","","",""
"Private pool · balcony","私人泳池 · 阳台","","","rental.villas.upper.feature1","/rental-programme/","Villa card feature line","","",""
"872 sq ft · 81.14 m² · 2 bedrooms · 2 bathrooms","872平方尺 · 81.14平方米 · 2房2卫","","","rental.villas.upper.feature2","/rental-programme/","Villa card feature line","Partial","","Keep sq ft / m² figures unchanged"
"From RM774,000*","RM774,000* 起","","","rental.villas.upper.price","/rental-programme/","Villa card price","Partial","","Keep RM774,000 and * unchanged"
"Type A Lower floor plan — 858 sq ft overwater villa with private pool, 2 bedrooms and 2 bathrooms","A 型下层户型平面图——858平方尺水上别墅，配备私人泳池，2房2卫","","","rental.villas.lower.image_alt","/rental-programme/","Villa card image alt","","","Same as villas.lower.image_alt"
"Type A — Lower","A 型 — 下层","","","rental.villas.lower.heading","/rental-programme/","Villa card heading","","",""
"Private pool · balcony","私人泳池 · 阳台","","","rental.villas.lower.feature1","/rental-programme/","Villa card feature line","","",""
"858 sq ft · 79.75 m² · 2 bedrooms · 2 bathrooms","858平方尺 · 79.75平方米 · 2房2卫","","","rental.villas.lower.feature2","/rental-programme/","Villa card feature line","Partial","","Keep sq ft / m² figures unchanged"
"From RM774,000*","RM774,000* 起","","","rental.villas.lower.price","/rental-programme/","Villa card price","Partial","","Keep RM774,000 and * unchanged"
"1,734 rooms in total — 910 overwater villas offered for ownership, 800 tower rooms and 24 aquarium rooms, with a sunken aquarium restaurant and the largest ballroom in Negeri Sembilan. Completion targeted 2029. Project GDV RM1.6 billion. *Pricing subject to availability and official price list.","总共1,734间房——910间供业权拥有的水上别墅、800间塔楼客房及24间水族客房，并设有沉降式水族餐厅及森美兰州最大宴会厅。竣工目标为2029年。项目总发展价值（GDV）为RM16亿。*价格视单位供应情况及官方价目表而定。","","","rental.villas.footnote","/rental-programme/","Villa pricing section footnote","Partial","","Keep all figures (1,734 / 910 / 800 / 24 / 2029 / RM1.6 billion) unchanged"
"Purchasing","购买流程","","","rental.purchase.eyebrow","/rental-programme/","Purchase process section eyebrow","","",""
"A Straightforward Purchase Process","简单直接的购买流程","","","rental.purchase.h2","/rental-programme/","Purchase process section H2","","",""
"From RM774,000","RM774,000 起","","","rental.purchase.card1.heading","/rental-programme/","Purchase process card heading","Partial","","Keep RM774,000 unchanged"
"Entry pricing across villa types, subject to availability and official pricing.","各户型起价，视单位供应情况及官方价格而定。","","","rental.purchase.card1.body","/rental-programme/","Purchase process card body","","",""
"Foreign buyers welcome","欢迎外国买家","","","rental.purchase.card2.heading","/rental-programme/","Purchase process card heading","","",""
"Yes, subject to minimum price thresholds that vary by state, and separate rules apply to MM2H participants. Confirm the current threshold for Negeri Sembilan with our consultant before committing.","可以，惟须符合各州属不同的最低购买价格门槛，MM2H 参与者则另有规定。请在作出决定前，向我们的顾问确认森美兰州现行的门槛。","","","rental.purchase.card2.body","/rental-programme/","Purchase process card body","Partial","","""MM2H"" verbatim"
"Common Questions","常见问题","","","rental.faq.eyebrow","/rental-programme/","FAQ section eyebrow","","","Same as villas.faq.eyebrow"
"Before You Decide","决定前须知","","","rental.faq.h2","/rental-programme/","FAQ section H2","","",""
"What happens after the first 3 years?","首3年后会如何？","","","rental.faq.q1","/rental-programme/","FAQ question 1","","Y",""
"From years 4 to 15, the programme moves to a profit-sharing phase, paid monthly and apportioned among participating owners. Exact terms are set out in the official sale and tenancy/leaseback agreements — reach out via WhatsApp for more details.","第4年至第15年，计划将进入利润分享阶段，按月支付，并在参与业主之间分配。确切条款载于正式的买卖及租赁／回租协议——欢迎透过 WhatsApp 了解更多详情。","","","rental.faq.a1","/rental-programme/","FAQ answer 1","","Y","Also in FAQPage JSON-LD with a slightly longer question wording — ZH normalizes to identical answer text"
"Can I stay in my own villa?","我可以入住自己的别墅吗？","","","rental.faq.q2","/rental-programme/","FAQ question 2","","Y",""
"Yes — owners taking part in the rental programme enjoy 10 complimentary nights' stay per year.","可以——参与租赁计划的业主每年可享有10晚免费入住。","","","rental.faq.a2","/rental-programme/","FAQ answer 2","","Y","Also in FAQPage JSON-LD — identical wording"
"Who manages the unit?","谁负责管理单位？","","","rental.faq.q3","/rental-programme/","FAQ question 3","","",""
"Lexis Hotel Group operates the resort — furnishing, upkeep and hotel operations included. Owners are not involved in day-to-day operations.","度假村由 Lexis Hotel Group 营运——涵盖装修、维护及酒店营运。业主无需参与日常营运。","","","rental.faq.a3","/rental-programme/","FAQ answer 3","","","Also in FAQPage JSON-LD — identical wording"
"Can I exit the programme?","我可以退出计划吗？","","","rental.faq.q4","/rental-programme/","FAQ question 4","","",""
"Owners may terminate the tenancy by giving 3 months' advance written notice.","业主可提前3个月发出书面通知以终止租赁。","","","rental.faq.a4","/rental-programme/","FAQ answer 4","","","Also in FAQPage JSON-LD — identical wording"
"Can foreigners buy?","外国人可以购买吗？","","","rental.faq.q5","/rental-programme/","FAQ question 5","","",""
"Yes, subject to minimum price thresholds that vary by state, and separate rules apply to Malaysia My Second Home (MM2H) participants. Confirm the current threshold for Negeri Sembilan with Summerfield before committing.","可以，惟须符合各州属不同的最低购买价格门槛，马来西亚第二家园计划（MM2H）参与者则另有规定。请在作出决定前，向 Summerfield 确认森美兰州现行的门槛。","","","rental.faq.a5","/rental-programme/","FAQ answer 5","Partial","","Same as villas.faq.a5. Also in FAQPage JSON-LD — identical wording"
"How do I verify the developer's track record?","如何查证发展商的往绩？","","","rental.faq.q6","/rental-programme/","FAQ question 6","","",""
"Arrange a private briefing at Bukit Bintang Showroom for full documentation, or WhatsApp us for a project overview and pricing.","可安排在 Bukit Bintang Showroom 进行私人简报以查阅完整文件，或透过 WhatsApp 联系我们索取项目概况与价格。","","","rental.faq.a6","/rental-programme/","FAQ answer 6","","","Also in FAQPage JSON-LD — identical wording"
"Next Step","下一步","","","rental.final.eyebrow","/rental-programme/","Final CTA section eyebrow","","","Same as villas.final.eyebrow"
"Review the Full Programme Terms Before You Decide","决定前，先审阅完整计划条款","","","rental.final.h2","/rental-programme/","Final CTA section H2","","Y",""
"Request the official brochure, current pricing and a private consultation at Bukit Bintang Showroom — no obligation.","索取正式宣传册、最新价格，并预约在 Bukit Bintang Showroom 进行的私人咨询——无需任何承诺。","","","rental.final.body","/rental-programme/","Final CTA section body","","",""
"Prefer a callback? Use the form and our consultant will reach out on WhatsApp with the full programme terms, pricing and briefing times.","希望我们回电？请填写表格，我们的顾问将透过 WhatsApp 与您联系，提供完整计划条款、价格及简报时间。","","","rental.final.small_text","/rental-programme/","Final CTA section small print","","",""
"Privacy Policy | Lexis Hibiscus 2, Port Dickson","隐私政策｜Lexis Hibiscus 2, Port Dickson","","","privacy.meta.title","/privacy-policy/","<title>","","",""
"How we collect, use and protect your data when you enquire about Lexis Hibiscus 2, Port Dickson.","了解我们在您咨询 Lexis Hibiscus 2（Port Dickson）时，如何收集、使用及保护您的个人资料。","","","privacy.meta.description","/privacy-policy/","Meta description","","",""
"Privacy Policy — Lexis Hibiscus 2","隐私政策 — Lexis Hibiscus 2","","","privacy.og.title","/privacy-policy/","og:title","","",""
"How we collect, use and protect your data when you enquire about Lexis Hibiscus 2.","了解我们在您咨询 Lexis Hibiscus 2 时，如何收集、使用及保护您的个人资料。","","","privacy.og.description","/privacy-policy/","og:description","","",""
"Legal","法律信息","","","privacy.eyebrow","/privacy-policy/","Eyebrow label","","","Same string as disclaimer.eyebrow"
"Privacy Policy","隐私政策","","","privacy.h1","/privacy-policy/","H1","","",""
"Last updated: 10 July 2026","最后更新日期：2026年7月10日","","","privacy.last_updated","/privacy-policy/","Publication date line","Partial","","Keep the same date across all languages — localize only the date format/wording, not the date itself"
"1. What This Policy Covers","1. 本政策涵盖范围","","","privacy.s1.heading","/privacy-policy/","Section 1 heading","","",""
"This policy explains how hibiscus2.com (""this website"") collects and uses information when you browse the site or submit an enquiry about Lexis Hibiscus 2, Port Dickson. This website is operated by an authorised real estate negotiator marketing the project — it is not the developer's official website.","本政策说明当您浏览本网站或提交有关 Lexis Hibiscus 2（Port Dickson）的咨询时，hibiscus2.com（""本网站""）如何收集及使用相关信息。本网站由负责该项目市场推广的授权房地产经纪人营运——并非发展商官方网站。","","","privacy.s1.body","/privacy-policy/","Section 1 body","","Y",""
"2. Information We Collect","2. 我们收集的信息","","","privacy.s2.heading","/privacy-policy/","Section 2 heading","","",""
"When you submit the enquiry form or contact us on WhatsApp, we collect: your name, WhatsApp number, buyer type (e.g. Malaysia Buyer, Singapore Buyer, Overseas Buyer, MM2H Participant), and any message you provide. Form submissions are processed via Web3Forms and delivered to our consultant by email.","当您提交咨询表格或透过 WhatsApp 联系我们时，我们会收集：您的姓名、WhatsApp 号码、买家类型（例如马来西亚买家、新加坡买家、海外买家、MM2H 参与者），以及您提供的任何留言。表格提交内容将透过 Web3Forms 处理，并以电邮方式发送给我们的顾问。","","","privacy.s2.body1","/privacy-policy/","Section 2 body paragraph 1","","",""
"We also automatically collect standard analytics data (pages visited, device type, approximate location, referring source and, where present, UTM/gclid campaign parameters) via Google Tag Manager and Google Analytics (GA4).","我们也会透过 Google Tag Manager 与 Google Analytics（GA4）自动收集标准分析数据（包括浏览页面、设备类型、大致位置、来源渠道，以及（如有）UTM/gclid 广告活动参数）。","","","privacy.s2.body2","/privacy-policy/","Section 2 body paragraph 2","","",""
"3. How We Use Your Information","3. 我们如何使用您的信息","","","privacy.s3.heading","/privacy-policy/","Section 3 heading","","",""
"We use the information you provide solely to respond to your enquiry — to contact you on WhatsApp or by phone/email with villa details, pricing, and to arrange a consultation. Analytics data is used to understand site performance and to measure the effectiveness of Google Ads campaigns (conversion tracking).","我们仅使用您所提供的信息来回复您的咨询——透过 WhatsApp、电话或电邮与您联系，提供别墅详情、价格资讯，并安排咨询。分析数据则用于了解网站表现，并衡量 Google Ads 广告活动成效（转化追踪）。","","","privacy.s3.body","/privacy-policy/","Section 3 body","","",""
"4. Cookies & Tracking","4. Cookie 与追踪技术","","","privacy.s4.heading","/privacy-policy/","Section 4 heading","","",""
"This website uses Google Tag Manager, Google Analytics (GA4) and Google Ads conversion tracking, which may set cookies or similar technologies in your browser to measure site usage and ad performance. You can control cookies through your browser settings.","本网站使用 Google Tag Manager、Google Analytics（GA4）及 Google Ads 转化追踪，这些工具可能会在您的浏览器中设置 Cookie 或类似技术，以衡量网站使用情况及广告成效。您可透过浏览器设置管理 Cookie。","","","privacy.s4.body","/privacy-policy/","Section 4 body","","",""
"5. Sharing of Information","5. 信息分享","","","privacy.s5.heading","/privacy-policy/","Section 5 heading","","",""
"Your enquiry details are shared only with the consultant/agency handling your enquiry and, where relevant, the project developer for the purpose of following up on your interest. We do not sell your personal data to third parties.","您的咨询资料仅会与处理该咨询的顾问／代理公司分享，并在相关情况下与项目发展商分享，以便跟进您的意向。我们不会将您的个人资料出售予第三方。","","","privacy.s5.body","/privacy-policy/","Section 5 body","","",""
"6. Data Retention","6. 资料保留","","","privacy.s6.heading","/privacy-policy/","Section 6 heading","","",""
"We retain enquiry information for as long as reasonably necessary to respond to your enquiry and for legitimate business record-keeping, unless you request deletion sooner.","我们会在合理必要的期限内保留您的咨询信息，以回复咨询及作为正当的业务记录用途，除非您要求提前删除。","","","privacy.s6.body","/privacy-policy/","Section 6 body","","",""
"7. Your Rights","7. 您的权利","","","privacy.s7.heading","/privacy-policy/","Section 7 heading","","",""
"You may request access to, correction of, or deletion of your personal data by contacting us via WhatsApp or the details on our Contact page, in accordance with the Malaysian Personal Data Protection Act 2010 (PDPA).","根据马来西亚2010年个人资料保护法令（PDPA），您可透过 WhatsApp 或我们联系我们页面上的资料与我们联系，要求查阅、更正或删除您的个人资料。","","","privacy.s7.body","/privacy-policy/","Section 7 body","","","""Contact page""/""联系我们"" is a hyperlink to /contact/ (language-equivalent). ""PDPA"" is Malaysia-specific law — keep the Act name reference, translate surrounding text"
"8. Contact","8. 联系方式","","","privacy.s8.heading","/privacy-policy/","Section 8 heading","","",""
"Questions about this policy can be directed to us via WhatsApp.","如对本政策有任何疑问，欢迎透过 WhatsApp 与我们联系。","","","privacy.s8.body","/privacy-policy/","Section 8 body","","",""
"Disclaimer | Lexis Hibiscus 2, Port Dickson","免责声明｜Lexis Hibiscus 2, Port Dickson","","","disclaimer.meta.title","/disclaimer/","<title>","","",""
